track_name,artist(s)_name,released_date (yyyy-mm),streams
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2023-7,141381703
LALA,Myke Towers,2023-3,133716286
vampire,Olivia Rodrigo,2023-6,140003974
Cruel Summer,Taylor Swift,2019-8,800840817
WHERE SHE GOES,Bad Bunny,2023-5,303236322
Sprinter,"Dave, Central Cee",2023-6,183706234
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2023-3,725980112
Columbia,Quevedo,2023-7,58149378
fukumean,Gunna,2023-5,95217315
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2023-3,553634067
un x100to,"Bad Bunny, Grupo Frontera",2023-4,505671438
Super Shy,NewJeans,2023-7,58255150
Flowers,Miley Cyrus,2023-1,1316855716
Daylight,David Kushner,2023-4,387570742
As It Was,Harry Styles,2022-3,2513188493
Kill Bill,SZA,2022-12,1163093654
Cupid - Twin Ver.,Fifty Fifty,2023-2,496795686
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-7,30546883
Classy 101,"Feid, Young Miko",2023-3,335222234
Like Crazy,Jimin,2023-3,363369738
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",2023-6,86444842
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,2023-7,52135248
I Wanna Be Yours,Arctic Monkeys,2013-1,1297026226
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2023-5,200647221
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",2023-6,115364561
SABOR FRESA,Fuerza Regida,2023-6,78300654
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2022-3,899183384
MOJABI GHOST,"Tainy, Bad Bunny",2023-6,61245289
Last Night,Morgan Wallen,2023-1,429829812
Dance The Night (From Barbie The Album),Dua Lipa,2023-5,127408954
Rush,Troye Sivan,2023-7,22581161
TULUM,"Peso Pluma, Grupo Frontera",2023-6,52294266
Creepin',"The Weeknd, 21 Savage, Metro Boomin",2022-12,843957510
Anti-Hero,Taylor Swift,2022-10,999748277
TQG,"Karol G, Shakira",2023-2,618990393
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",2023-6,123122413
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2023-4,188933502
Blank Space,Taylor Swift,2014-1,1355959075
Style,Taylor Swift,2014-1,786181836
TQM,Fuerza Regida,2023-5,176553476
El Azul,"Junior H, Peso Pluma",2023-2,354495408
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018-10,2808096550
I'm Good (Blue),"Bebe Rexha, David Guetta",2022-8,1109433169
See You Again,"Tyler, The Creator, Kali Uchis",2017-7,1047101291
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",2023-6,65156199
Angels Like You,Miley Cyrus,2020-11,570515054
I Ain't Worried,OneRepublic,2022-5,1085685420
Die For You,The Weeknd,2016-11,1647990401
Starboy,"The Weeknd, Daft Punk",2016-9,2565529693
Die For You - Remix,"Ariana Grande, The Weeknd",2023-2,518745108
El Cielo,"Feid, Myke Towers, Sky Rompiendo",2023-6,107753850
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",2023-4,177740666
AMARGURA,Karol G,2023-2,153372011
(It Goes Like) Nanana - Edit,Peggy Gou,2023-6,57876440
Another Love,Tom Odell,2012-10,1813673666
Blinding Lights,The Weeknd,2019-11,3703895074
Moonlight,Kali Uchis,2023-2,256483385
La Bachata,Manuel Turizo,2022-5,1214083358
S91,Karol G,2023-7,16011326
cardigan,Taylor Swift,2020-7,812019557
Tï¿½ï¿,"dennis, MC Kevin o Chris",2023-5,111947664
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2023-2,156338624
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",2022-6,720434240
BESO,"Rauw Alejandro, ROSALï¿½",2023-3,357925728
Hey Mor,"Ozuna, Feid",2022-10,674072710
Yellow,Chris Molitor,1999-1,1755214421
Karma,Taylor Swift,2022-10,404562836
People,Libianca,2022-12,373199958
Overdrive,Post Malone,2023-7,14780425
Enchanted (Taylor's Version),Taylor Swift,2023-7,39578178
BABY HELLO,"Rauw Alejandro, Bizarrap",2023-6,54266102
Heat Waves,Glass Animals,2020-6,2557975762
golden hour,JVKE,2022-7,751134527
Sweater Weather,The Neighbourhood,2012-5,2282771485
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2022-7,1356565093
Viva La Vida,Coldplay,2008-1,1592909789
Here With Me,d4vd,2022-7,635412045
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2022-9,1230675890
Yandel 150,"Yandel, Feid",2022-12,585695368
CORAZï¿½ï¿½N VA,Maria Becerra,2023-6,43857627
Riptide,Vance Joy,1975-1,2009094673
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2022-4,600976848
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2023-6,39709092
Back To December (Taylor's Version),Taylor Swift,2023-7,39228929
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2021-7,2665343922
El Merengue,"Marshmello, Manuel Turizo",2023-3,223633238
Someone You Loved,Lewis Capaldi,2018-11,2887241814
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2022-5,1440757818
Makeba,Jain,2015-6,165484133
MONTAGEM - FR PUNK,"Ayparia, unxbected",2012-6,58054811
Fast Car,Luke Combs,2023-3,157058870
What It Is (Solo Version),Doechii,2023-3,95131998
Coco Chanel,"Bad Bunny, Eladio Carrion",2023-3,250305248
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,2017-11,685032533
Still With You,Jung Kook,2020-6,38411956
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2023-5,144565150
Say Yes To Heaven,Lana Del Rey,2023-3,127567540
Snooze,SZA,2022-12,399686758
Summertime Sadness,Lana Del Rey,2011-1,983637508
Take Two,BTS,2023-6,118482347
Lover,Taylor Swift,2012-1,882831184
