party,candidate_number,candidate_name,votes
1 GROENLINKS,1,"Groot Wassink, B.R.",12162
,2,"Nadif, I.",12435
,3,"Ernsting, Z.D.",694
,4,"Bentoumya, Y.E.",4313
,5,"van der Veen, K.S.N.",560
,6,"van Renssen, N.A.",2313
,7,"van Pijpen, J.F.",1031
,8,"Yemane, M.",3115
,9,"IJmker, E.C.",628
,10,"van Keulen, S.",1297
,11,"Taj, A.",298
,12,"van Munster, C.A.D.",142
,13,"Peters, E.A.",1094
,14,"Doppen, M.",747
,15,"Caton, B.",687
,16,"KaradareviÄ, A",1273
,17,"Rosenthal, I.",506
,18,"Freeman, W.",288
,19,"Nijhof, P.",96
,20,"Bouali, F.",830
,21,"Mollema, N.S.",67
,22,"Imfeld, D.P.",57
,23,"Veenhoff, A.M.",188
,24,"Korpershoek, M.",158
,25,"Gharbharan, M.J.",426
,26,"Scharwachter, S.C.A.",161
,27,"van der Does, J.A.H.",90
,28,"Thesingh, A.C.",66
,29,"Ogier, C.B.M.",122
,30,"Blom, S.R.H.",101
,31,"Roosma, F.",294
,32,"ï¿½nver, E.",217
,33,"Ulichki Boudchourt, F.",145
,34,"van Doorninck, G.A.M.",174
,35,"Meliani, T.",289
,36,"Hirsch, D.H.",80
,37,"van Ojik, A.",164
,38,"KrÃ¶ger, S.C",126
,39,"Bouchallikh, K.",374
,40,"Corton, E.",288
2 D66,1,"van Dantzig, R.H.",15537
,2,"de Jager, D.O.C.",12294
,3,"Rooderkerk, I.",1857
,4,"Moeskops, E.D.M.",1545
,5,"Aslami, A.S.",642
,6,"Hofland, R.P.",277
,7,"El Ksaihi, Y.",2873
,8,"Lust, M.J.",1142
,9,"Schmit, E.W.",186
,10,"Wehkamp, J.",989
,11,"TÃ¼rkkol, N",708
,12,"Norbruis, K.F.O.",1304
,13,"Hermans, T.J.",239
,14,"van Schagen, J.J.B.",281
,15,"Koekoek, R.D.",288
,16,"Williams, M.E.",146
,17,"Warmerdam, S.",162
,18,"van Breugel, C.",721
,19,"TaÅliyurt, A",197
,20,"Peeters, L.C.M.",407
,21,"Loor, M.E.",121
,22,"Beek, R.M.",277
,23,"van Garderen, G.C.",80
,24,"Kroon, S.J.W.",59
,25,"MÃ¼lder, H.S",70
,26,"Ras, N.J.D.",25
,27,"Verstegen, M.K.G.E.",43
,28,"van der Schaaf, J.J.",90
,29,"Brouwer-Klitsie, L.A.",75
,30,"Diebels, J.P.T.",117
,31,"van Vliet, E.I.C.",131
,32,"Goossens, T.M.A.",114
,33,"Fransen, T.M.",143
,34,"Rutten, K.J.",62
,35,"Liefting, P.",18
,36,"Ronteltap, J.",100
,37,"van Hilten, B.",18
,38,"Hoeffnagel, C.C.",57
,39,"Sheikrojan, F.F.",213
,40,"Vaneker, C.H.J.",16
,41,"van Erp, E.",113
,42,"Scheper, B.E.",37
,43,"Nienhuis, B.",41
,44,"van Schaijik, H.W.",18
,45,"de Wolff, A.",33
,46,"Vroege, J.S.A.",56
